"CovertedTime","Time","NR_Perspiration","Perspiration","HR_z","BR_z","Session"
2018-07-11 14:09:28,12,0.00657092639511948,0.00595400757142857,78,19,"RestingBaseline"
2018-07-11 14:09:29,13,0.00655772677573626,0.006226497625,78,19,"RestingBaseline"
2018-07-11 14:09:30,14,0.00654496089823826,0.0057296,79,19,"RestingBaseline"
2018-07-11 14:09:31,15,0.0065326360202908,0.006025896,81,19,"RestingBaseline"
2018-07-11 14:09:32,16,0.00652069457672881,0.00613467828571429,81,19,"RestingBaseline"
2018-07-11 14:09:33,17,0.00650910125896274,0.007373820375,82,19,"RestingBaseline"
2018-07-11 14:09:34,18,0.00649779440806609,0.00698673342857143,81,19,"RestingBaseline"
2018-07-11 14:09:35,19,0.00648675710235824,0.006542625375,79,19,"RestingBaseline"
2018-07-11 14:09:36,20,0.00647597501519499,0.00710768671428571,78,20,"RestingBaseline"
2018-07-11 14:09:37,21,0.00646548717234272,0.0059521685,77,20,"RestingBaseline"
2018-07-11 14:09:38,22,0.00645533077850093,0.00565041742857143,78,20,"RestingBaseline"
2018-07-11 14:09:39,23,0.00644558901710256,0.005904921375,78,20,"RestingBaseline"
2018-07-11 14:09:40,24,0.0064363129957884,0.00622001742857143,78,20,"RestingBaseline"
2018-07-11 14:09:41,25,0.00642759019374859,0.005682882625,79,20,"RestingBaseline"
2018-07-11 14:09:42,26,0.0064194483658924,0.00604937314285714,80,21,"RestingBaseline"
2018-07-11 14:09:43,27,0.00641195392179897,0.006204664625,81,21,"RestingBaseline"
2018-07-11 14:09:44,28,0.00640510611007055,0.00617549228571429,81,21,"RestingBaseline"
2018-07-11 14:09:45,29,0.00639895627332696,0.006368801375,80,21,"RestingBaseline"
2018-07-11 14:09:46,30,0.00639349368498086,0.00721872814285714,77,21,"RestingBaseline"
2018-07-11 14:09:47,31,0.00638877221983543,0.0057337765,77,21,"RestingBaseline"
2018-07-11 14:09:48,32,0.00638478441832272,0.005191889,78,21,"RestingBaseline"
2018-07-11 14:09:49,33,0.00638159206066215,0.006263795375,77,21,"RestingBaseline"
2018-07-11 14:09:50,34,0.00637918871912583,0.005766051,77,21,"RestingBaseline"
2018-07-11 14:09:51,35,0.00637763994627801,0.00648341525,77,21,"RestingBaseline"
2018-07-11 14:09:52,36,0.00637693801044554,0.00610650571428571,76,21,"RestingBaseline"
2018-07-11 14:09:53,37,0.0063771557766376,0.006132925875,73,21,"RestingBaseline"
2018-07-11 14:09:54,38,0.00637829252854672,0.00587037514285714,74,21,"RestingBaseline"
2018-07-11 14:09:55,39,0.00638044052021622,0.0067657935,74,21,"RestingBaseline"
2018-07-11 14:09:56,40,0.00638361329200875,0.00621423471428571,74,21,"RestingBaseline"
2018-07-11 14:09:57,41,0.00638792491274669,0.005463887,76,21,"RestingBaseline"
2018-07-11 14:09:58,42,0.00639339219600507,0.00616133728571429,78,21,"RestingBaseline"
2018-07-11 14:09:59,43,0.00640013140898762,0.005262853375,80,21,"RestingBaseline"
2018-07-11 14:10:00,44,0.00640813544599666,0.00596182728571429,82,21,"RestingBaseline"
2018-07-11 14:10:01,45,0.00641749114257136,0.0059608675,81,21,"RestingBaseline"
2018-07-11 14:10:02,46,0.00642814281716143,0.00629835185714286,80,21,"RestingBaseline"
2018-07-11 14:10:03,47,0.00644012162097451,0.00595190125,79,21,"RestingBaseline"
2018-07-11 14:10:04,48,0.00645331154883418,0.00560108828571429,76,20,"RestingBaseline"
2018-07-11 14:10:05,49,0.0064666689999023,0.00615438414285714,76,20,"RestingBaseline"
2018-07-11 14:10:06,50,0.00648197263891664,0.00642897225,76,20,"RestingBaseline"
2018-07-11 14:10:07,51,0.00649810499125712,0.00627183328571429,75,20,"RestingBaseline"
2018-07-11 14:10:08,52,0.00651488433636921,0.00575059425,76,20,"RestingBaseline"
2018-07-11 14:10:09,53,0.00653203336478334,0.00574750228571429,78,20,"RestingBaseline"
2018-07-11 14:10:10,54,0.0065492731463536,0.005891141125,80,20,"RestingBaseline"
2018-07-11 14:10:11,55,0.00656629695529408,0.00658115842857143,81,20,"RestingBaseline"
2018-07-11 14:10:12,56,0.00658277787583856,0.006970174125,81,20,"RestingBaseline"
2018-07-11 14:10:13,57,0.00659845942205937,0.00752405228571429,82,20,"RestingBaseline"
2018-07-11 14:10:14,58,0.006613063468754,0.008133779375,87,21,"RestingBaseline"
2018-07-11 14:10:15,59,0.00662647335099951,0.00836039642857143,88,21,"RestingBaseline"
2018-07-11 14:10:16,60,0.00663854939367137,0.006327888875,85,21,"RestingBaseline"
2018-07-11 14:10:17,61,0.00664934894693441,0.00689757171428571,82,21,"RestingBaseline"
2018-07-11 14:10:18,62,0.00665889020106787,0.007595212375,79,21,"RestingBaseline"
2018-07-11 14:10:19,63,0.00666735446204857,0.00644577757142857,77,21,"RestingBaseline"
2018-07-11 14:10:20,64,0.00667485819226723,0.006647874625,76,21,"RestingBaseline"
2018-07-11 14:10:21,65,0.00668160844731468,0.00598341728571429,76,21,"RestingBaseline"
2018-07-11 14:10:22,66,0.00668772908301867,0.006993053375,78,21,"RestingBaseline"
2018-07-11 14:10:23,67,0.00669336994306342,0.005728434,77,21,"RestingBaseline"
2018-07-11 14:10:24,68,0.00669859805472473,0.007192853125,74,21,"RestingBaseline"
2018-07-11 14:10:25,69,0.00670347942019791,0.00632281314285714,72,21,"RestingBaseline"
2018-07-11 14:10:26,70,0.00670801537377829,0.006831786375,71,21,"RestingBaseline"
2018-07-11 14:10:27,71,0.00671221698571269,0.00627786971428571,70,21,"RestingBaseline"
2018-07-11 14:10:28,72,0.00671605702722041,0.00777808475,70,21,"RestingBaseline"
2018-07-11 14:10:29,73,0.0067195453758549,0.00649969214285714,70,21,"RestingBaseline"
2018-07-11 14:10:30,74,0.00672267789073703,0.006527339625,69,21,"RestingBaseline"
2018-07-11 14:10:31,75,0.00672550555703585,0.00767118457142857,70,21,"RestingBaseline"
2018-07-11 14:10:32,76,0.00672808044762996,0.0072369275,70,21,"RestingBaseline"
2018-07-11 14:10:33,77,0.0067305009100583,0.006946735,70,21,"RestingBaseline"
2018-07-11 14:10:34,78,0.00673286946978501,0.0058318895,69,21,"RestingBaseline"
2018-07-11 14:10:35,79,0.00673529949276421,0.00701741771428571,68,21,"RestingBaseline"
2018-07-11 14:10:36,80,0.00673790398995311,0.006684508625,68,21,"RestingBaseline"
2018-07-11 14:10:37,81,0.00674076451603769,0.00575380557142857,68,21,"RestingBaseline"
2018-07-11 14:10:38,82,0.00674396016512257,0.007100273375,69,21,"RestingBaseline"
2018-07-11 14:10:39,83,0.00674751326491205,0.00612983271428571,69,21,"RestingBaseline"
2018-07-11 14:10:40,84,0.00675144944902644,0.00667136175,70,21,"RestingBaseline"
2018-07-11 14:10:41,85,0.00675573748388045,0.00746761114285714,72,21,"RestingBaseline"
2018-07-11 14:10:42,86,0.00676035887177337,0.006666078625,73,21,"RestingBaseline"
2018-07-11 14:10:43,87,0.00676525460843823,0.00669728285714286,72,21,"RestingBaseline"
2018-07-11 14:10:44,88,0.0067703851336628,0.006604088375,72,20,"RestingBaseline"
2018-07-11 14:10:45,89,0.00677569140955872,0.00664651542857143,72,20,"RestingBaseline"
2018-07-11 14:10:46,90,0.00678113747254816,0.006776857625,72,20,"RestingBaseline"
2018-07-11 14:10:47,91,0.00678668702780453,0.00617756214285714,73,20,"RestingBaseline"
2018-07-11 14:10:48,92,0.00679233051449776,0.007357319,73,20,"RestingBaseline"
2018-07-11 14:10:49,93,0.00679806890793443,0.00766160657142857,73,20,"RestingBaseline"
2018-07-11 14:10:50,94,0.00680393161158466,0.007233672625,73,20,"RestingBaseline"
2018-07-11 14:10:51,95,0.00680995193684716,0.00615441671428571,75,20,"RestingBaseline"
2018-07-11 14:10:52,96,0.00681618576293873,0.006505356125,75,20,"RestingBaseline"
2018-07-11 14:10:53,97,0.00682266905037862,0.00640564328571429,76,20,"RestingBaseline"
2018-07-11 14:10:54,98,0.00682944939743325,0.006211268375,76,20,"RestingBaseline"
